Dataset	model	attack	drop_ratio
PROTEINS	InfoMax	random	0.043
PROTEINS	InfoMax	PGD	0.084
PROTEINS	GCL	random	0.0878
PROTEINS	GCL	PGD	0.1197
PROTEINS	AD-GCL	random	0.0745
PROTEINS	AD-GCL	PGD	0.1852
PROTEINS	GIN	random	0.0955
PROTEINS	GIN	PGD	0.0855
NCI1	InfoMax	random	0.102
NCI1	InfoMax	PGD	0.242
NCI1	GCL	random	0.1224
NCI1	GCL	PGD	0.2638
NCI1	AD-GCL	random	0.0755
NCI1	AD-GCL	PGD	0.0906
NCI1	GIN	random	0.1578
NCI1	GIN	PGD	0.257
DD	InfoMax	random	0.041
DD	InfoMax	PGD	0.259
DD	GCL	random	0.0802
DD	GCL	PGD	0.3449
DD	AD-GCL	random	0.0637
DD	AD-GCL	PGD	0.4646
DD	GIN	random	0.0855
DD	GIN	PGD	0.2073
